,logFC,P.Value,adj.P.Val
Gm26759,-22.877884,0.08479241041999354,0.8191540461293146
Mon1a,-0.43477648,0.17567645806348492,0.8996128020373015
Tcf24,-22.265188,0.08475524948760281,0.8191540461293146
Aftph,-0.32617828,0.17529544322992668,0.8996128020373015
Serpinb6c,-22.341028,0.08475279335998824,0.8191540461293146
Gm6792,-23.589989,0.17617648075976675,0.8996128020373015
Ice2,-0.8572302,0.08434558929799123,0.8191540461293146
Pdia4,-0.2345303,0.17511854660735904,0.8996128020373015
Rbp1,-1.6189816,0.08434789163326827,0.8191540461293146
Gm9125,-24.117437,0.17611810279857584,0.8996128020373015
RP23-74K24.2,-22.58425,0.08458417070452802,0.8191540461293146
Zfp516,-0.90568626,0.17530997776037907,0.8996128020373015
Ripply3,-22.611729,0.08458166980007266,0.8191540461293146
A930033H14Rik,-22.867022,0.17596331154396475,0.8996128020373015
Hist1h2bh,-22.600548,0.08454202649723136,0.8191540461293146
4732465J04Rik,-1.8850718,0.17542380367456503,0.8996128020373015
Tyw3,-0.99978906,0.08418691367866976,0.8191540461293146
Ndor1,-0.6665117,0.1744596638626645,0.8996128020373015
Zfp59,-22.546316,0.08447560942781414,0.8191540461293146
Ifitm3,-0.35976642,0.17430643299179885,0.8996128020373015
Hnrnpr,-0.27736795,0.08439202100572732,0.8191540461293146
Pcp4,-2.5591712,0.17491338567872103,0.8996128020373015
Traf1,-22.627449,0.08440564686223072,0.8191540461293146
Ccdc167,-0.42316112,0.17414686660147588,0.8996128020373015
Rps25,-0.069015905,0.08439246077554377,0.8191540461293146
Tbc1d19,-2.6957645,0.1747343975453,0.8996128020373015
Ndufaf3,-0.287392,0.08406946988766024,0.8191540461293146
Eif1ax,-0.14125004,0.17363710956569592,0.8996128020373015
Gsta3,-0.54694146,0.08392959380295809,0.8191540461293146
Tspan5,-1.1188073,0.17313532062150033,0.8996128020373015
Bloc1s3,-0.6324055,0.08394627207482354,0.8191540461293146
Rwdd2a,-1.5281571,0.17310790090295566,0.8996128020373015
Hao2,-0.6210885,0.08386238380032217,0.8191540461293146
Zcchc3,-22.792793,0.17340883117340075,0.8996128020373015
Ret,-22.758356,0.08405005286168427,0.8191540461293146
Pate2,-22.792793,0.17340883117340075,0.8996128020373015
G430095P16Rik,-22.230766,0.08396939082607101,0.8191540461293146
Zfp148,-0.29332316,0.17239184666073532,0.8996128020373015
Gm15879,-22.726427,0.0839573871616642,0.8191540461293146
Fam207a,-0.29102668,0.17226084756355792,0.8996128020373015
Gm20548,-22.811247,0.0838236396703606,0.8191540461293146
2700049A03Rik,-0.7534113,0.1723583582298946,0.8996128020373015
Nckap5,-2.2881043,0.0834622934188482,0.8191540461293146
Rrn3,-0.4899817,0.17200819583409735,0.8996128020373015
Rbbp8,-0.5757269,0.08348270227608205,0.8191540461293146
Zmynd10,-22.778402,0.1726187200572045,0.8996128020373015
Gm28041,-23.270544,0.08357462329381536,0.8191540461293146
Chsy1,-22.803383,0.17240098472659598,0.8996128020373015
Mpz,-2.092676,0.08318271761540426,0.8191540461293146
Vangl2,-1.2632565,0.17170974312583207,0.8996128020373015
Galnt5,-22.570581,0.08347997808633939,0.8191540461293146
Irf3,-0.24197994,0.17132900797415745,0.8996128020373015
Prrc1,-0.4773175,0.08335645177414497,0.8191540461293146
Pcsk1n,-23.590174,0.17218333657850401,0.8996128020373015
Gpr146,-22.376049,0.08342587436677935,0.8191540461293146
Slc39a10,-0.9144227,0.17127619134662483,0.8996128020373015
G6pc,-22.788216,0.08337496782912711,0.8191540461293146
Arhgap24,-23.546764,0.17194217479566112,0.8996128020373015
Csnk1g3,-0.34219646,0.08319534680658486,0.8191540461293146
