gene,p.value,logfc
Mtfmt,0.00018962028105833076,0.72332096
Hspb1,0.0047764459744696714,1.7693616
Bad,0.0001924187383417931,0.34309956
Acrbp,0.004745041397081602,0.7468101
Sh3kbp1,0.00019652835057638814,1.2054393
Psma4,0.0047849695924462666,0.18991432
Samd14,0.00019873447986403178,0.48768726
Rpl18a,0.004801440901454337,0.11289575
Gnb1,0.00019957002893353012,0.29605088
A330102I10Rik,0.004918327321688821,1.4373201
Ssh1,0.00019968922802571655,0.73386234
Copb2,0.004894295703886577,0.28757527
Cps1,0.00020281228763528535,0.62281364
Noc4l,0.004952408047146972,0.5200384
Mlip,0.00021172054815170294,0.6993701
Nt5c3,0.0049823358255401285,0.23029722
Prss23,0.00021224175050939994,1.8839351
Uchl3,0.0053816082479463,0.2959698
Rpl9-ps6,0.00021576076341597243,0.19269563
Gm42670,0.005494206739870004,1.2772858
Wwc1,0.0002139113525286034,0.9074862
Hnrnpc,0.005458994925723312,0.19543347
Rpl37a,0.00021607279580139344,0.116245136
Fgfr4,0.0055203577114663945,0.9483242
Gm2000,0.0002172224285883308,0.27223653
Egln3,0.005609990154219371,1.1739388
Minos1,0.00022013296753113843,0.18294665
Suclg1,0.005590654011240708,0.16820349
Srebf2,0.00022013307679422933,0.55801946
Ctsz,0.005607059430830441,0.3579127
Myeov2,0.0002230266012599474,0.2568647
Poc5,0.0057094414729824,0.9319947
Uqcrq,0.0002270256471423969,0.20281541
Tubb4b,0.005687715503531711,0.2522608
Suco,0.0002284657187890752,0.54616123
Btg2,0.0058613983660449395,0.2763232
B4galt5,0.00022992038309097932,0.42049032
Park7,0.005857892133187739,0.14002472
D8Ertd82e,0.00024006343104145778,1.5357656
Psmc1,0.005916609346545106,0.25183198
Dmbt1,0.0002421504017254967,0.80183643
Podxl2,0.0059545618147533235,1.1586746
Taf9b,0.0002449388052113506,1.1212387
Mycl,0.005958259180143941,0.54219395
Rpl35a,0.0002499050624209573,0.10963158
Rps14,0.006002308493911431,0.07446263
Cnksr1,0.0002489596508035987,0.6771631
Zbtb20,0.006066995410491844,0.28886324
Gm10073,0.00025683259225179174,0.21166916
Gm36266,0.006169825209712968,1.2624012
Ppp1r14c,0.0002641294056596354,0.43583408
Gm11963,0.006221229669976842,1.9162159
Rnaset2a,0.0002664694290029428,0.464117
Rps6,0.006253779258237163,0.088621624
Vsig10,0.0002685629002069412,0.5553515
0610011F06Rik,0.006374173447217367,0.24456298
Tmem106a,0.0002710432032053014,0.86270934
Rab1a,0.0064019788130694946,0.21014458
Pde8b,0.00027683296320676063,1.7418598
Tm9sf3,0.006403609879158589,0.20756601
Ildr1,0.0002815348987493524,0.4103275
Cdk4,0.0064474170970458405,0.28326494
Rpl34,0.00028425760281863057,0.12032786
Psmd7,0.006452129872845694,0.23258488
Mtmr6,0.000285931266041766,0.8154983
Stip1,0.0064697618270687105,0.2573193
Pxdc1,0.00028882580354622174,1.3822111
Pdrg1,0.006479707442775544,0.31774518
Rps25,0.00029374646470859236,0.1057612
Cacybp,0.00654501747567989,0.21240464
Usmg5,0.00030149189777633415,0.23032917
Csad,0.006551988278340471,0.50762767
Neurl1b,0.00030623154387727147,1.2706412
Cdc37l1,0.006549108806291659,0.43400958
Epb41l4b,0.000307583980139564,0.51674986
Pdlim1,0.0065931202369841875,0.2681996
Pvrl3,0.00031105481213949493,0.8877441
Foxa1,0.00663929869242492,0.65794945
Slc40a1,0.00032730241121983555,23.609316
Tspo2,0.006838379393951405,0.67881995
Mapk1ip1l,0.0003199300891124817,0.49255168
Elf3,0.006867273067029721,0.20115986
Cobl,0.0003193776379083936,1.8623017
Mknk1,0.007034583122987631,0.8113621
Samd1,0.00032650902343115746,1.1861155
1110008L16Rik,0.007032161596839253,0.27912992
2310001H17Rik,0.00034024168834933583,0.43674383
Snrpc,0.00706177710182476,0.21213986
Uhrf1,0.00033903535188247635,1.1746725
Hnrnpf,0.007129370703330924,0.15747668
Prap1,0.00034744464451301905,0.62817425
Mrpl46,0.007208718062882632,0.2526864
Abcd1,0.0003471213583627674,1.1851119
Cdk7,0.007340825822956907,0.46671167
Cds1,0.0003490088259110275,1.0610374
Prpsap1,0.00734208854078323,0.26751828
Sp100,0.0003519607915950488,1.0918969
Pus1,0.007415060702995674,0.39484832
Mlx,0.0003573227755713692,0.3965097
Akr1c13,0.007665510559805232,0.2717434
Capn13,0.0003559845205012077,1.3999723
Pate4,0.0077075603663754105,0.6120026
Arf6,0.0003693767263406929,0.36944774
Mob4,0.00798504798245153,0.24610312
Pds5a,0.0003816547799357673,0.5377339
Apoh,0.008172588289340695,1.0273964
Stra13,0.0003835484317040584,0.33050236
Tia1,0.00812468121259411,0.2829581
Ivns1abp,0.0003885237354945787,0.24887188
Wnt3,0.008426556128992667,2.2764914
Mlec,0.0004006188905996459,0.24594639
Pcbp1,0.00854471023296402,0.1631326
mt-Nd4l,0.0003999272559608427,0.4797698
Apobec3,0.008605530482460395,0.32965615
Tubgcp3,0.00040063358824316795,0.9897012
Abcd3,0.008612041790686026,0.2510619
