,logFC,P.Value,adj.P.Val
Zscan22,-1.5453064,0.017336268710946005,0.3329414558564264
Gimap1,-1.1024532,0.0414568013470456,0.5062684990073887
F2,-2.05918,0.01721064080665879,0.3319896716744401
Lmnb2,-0.9631514,0.041436883216031374,0.5062684990073887
Tnfrsf12a,-1.0731025,0.01739843327211449,0.3329414558564264
Taf1a,-1.9614685,0.04144800141502796,0.5062684990073887
Mcts2,-1.0329802,0.017159764817249692,0.33137202981706465
Akr7a5,-0.41463208,0.041107258386868406,0.5044538070058928
Zbtb34,-1.8599806,0.017087621220170744,0.3307114565012028
Eif3l,-0.35250822,0.04099683934092165,0.5037595204925892
Rft1,-1.1894388,0.017133929224641534,0.3312371158026685
Ap3b1,-0.5716581,0.04101464980087685,0.5037595204925892
1110037F02Rik,-1.1091748,0.017072853043079903,0.3307114565012028
Ran,-0.25140637,0.04092761692344461,0.5036561710053867
Chst11,-20.091948,0.0168800247459592,0.3283941371057239
Adck3,-0.8358588,0.040925835721725735,0.5036561710053867
Sema6a,-21.568178,0.016747684430493726,0.32700784277451805
Otud4,-0.9336525,0.040778186974213954,0.5036480766059831
Taf10,-0.365584,0.016866805352312966,0.3283941371057239
Jchain,-1.9311795,0.040854824932951075,0.5036480766059831
Fads6,-2.1966531,0.016489090816176135,0.32484618039536234
Tbl2,-0.78307533,0.04059038200314918,0.5033412589759912
Ralgapa2,-0.6970918,0.016620634822767186,0.3255359351139154
Impdh2,-0.37531826,0.040458293142932665,0.5027790558509319
Gm12999,-20.560291,0.016334559893125062,0.3221629865341041
Ptcd3,-1.0528194,0.0405130110444955,0.5027790558509319
Efcab14,-0.589163,0.016540820729944162,0.3251184653926952
Ivd,-0.7467433,0.040494847853916,0.5027790558509319
Gramd1c,-1.8699809,0.016319704394241238,0.3221629865341041
Atp6v1e1,-0.29391384,0.03999725369328825,0.4986497454956277
Oxt,-20.287952,0.01631654513563241,0.3221629865341041
Nudt21,-0.42499688,0.03991208256133495,0.49813567247893403
Gm12258,-20.571114,0.016241174598238397,0.3217656834440173
Dgcr8,-1.4202324,0.04003839929973998,0.4986497454956277
Zfp712,-20.598364,0.016016823468871892,0.3183977814688753
Qsox2,-1.1917973,0.039852984258904635,0.4977594048329575
Hps6,-1.4690412,0.015965638426528473,0.3180999592623411
Yy1,-0.51718926,0.03951326795732612,0.4952686574993522
Gm16196,-21.409336,0.01584552977641224,0.3171452104338181
Cyp2e1,-1.4100109,0.0395694051177278,0.49561878555511807
Pex12,-0.966857,0.015943324116693084,0.3180999592623411
Atp6v1b2,-0.41756287,0.03944993773443163,0.4948278057153227
Dnajb6,-0.4047925,0.016051460770875138,0.31872578545377267
Gm21002,-0.50552815,0.03932540210274132,0.4941511984285106
Gemin5,-1.2321877,0.01570145162240938,0.3149790061194064
Clk2,-1.0368476,0.039434322538597175,0.4948278057153227
Calm1,-0.23062803,0.0157385281297954,0.3153627763111682
Gsto1,-0.323444,0.03931634886970912,0.4941511984285106
Taf1c,-1.4985789,0.015381915301858312,0.3110421652970358
Pabpn1,-0.46974605,0.03926009720337113,0.4941511984285106
Abhd17a,-0.41964665,0.015479676922395179,0.3119545442170304
Ccnb2,-0.8859354,0.03929384564426188,0.4941511984285106
Mapt,-2.3389301,0.015161933425534905,0.3080238798692773
Atox1,-0.28141877,0.03902458177382369,0.49263457337171346
Ntmt1,-0.5026586,0.015399003232710474,0.3110421652970358
Mta2,-0.6714646,0.03892850965420616,0.49263457337171346
Gm26590,-20.36185,0.015142393546190742,0.307982965031493
Xrcc6,-0.9021153,0.03894198646511943,0.49263457337171346
Fgf9,-21.298779,0.01506091929249862,0.3070365832100676
Naca,-0.17751832,0.03880998271825688,0.49263457337171346
Fetub,-2.6066315,0.014714724489183513,0.30032735592151205
Kifap3,-1.5013485,0.03876360928094477,0.49263457337171346
RP23-143D11.1,-20.461712,0.014704077477442467,0.30032735592151205
Ndufs2,-0.29117414,0.03855191731750096,0.49092235001481477
Zfp882,-20.287031,0.014630017486953101,0.29964253764362103
Smkr-ps,-6.417936,0.038717493747238145,0.49263457337171346
Ttc8,-1.41833,0.014697850328866578,0.30032735592151205
Tmem45b,-0.49912834,0.03845978907054353,0.4904599951644858
Gm10282,-1.9208815,0.014446083639317415,0.2979589528095363
Fance,-0.8593691,0.038495668943961454,0.4905615593562253
Ift122,-2.7888541,0.014328049954228423,0.295935441218813
Arrb1,-1.0893987,0.03822475870816885,0.48852631620265535
Zmym6,-3.1614547,0.014331136429591409,0.295935441218813
Tbc1d13,-1.1239964,0.0378730070816559,0.48548634490361864
Smim14,-0.20922524,0.014628969220105368,0.29964253764362103
Wasf2,-0.6089095,0.037728932430941116,0.48472017706144527
Ss18l1,-1.9293143,0.014184203506869305,0.2939375097007244
Adra2a,-0.7790848,0.03767496856383537,0.48472017706144527
Fkbp4,-0.2700843,0.014474655523686892,0.29819826672655303
Bet1l,-0.38622716,0.03743949219054108,0.48376779137086645
Gm26870,-2.4951186,0.0140530827354344,0.29294759538527726
Rnf38,-0.7743983,0.037188838734662104,0.48301512423075915
Usp32,-1.1932548,0.014100422429827427,0.29317729912872986
Ints7,-1.2362231,0.03733974757734959,0.48350658808816116
Igsf11,-20.827602,0.013947597444053803,0.29213483895632597
Crtap,-2.4237154,0.037373948193325394,0.48350658808816116
AW112010,-0.5117915,0.013997060397326845,0.29282183614550555
Capns1,-0.30055088,0.037098751864233795,0.48255837639539634
Gprasp1,-1.6473279,0.0138535717706015,0.29085880134382336
Rnf44,-0.6277387,0.03708748892859593,0.48255837639539634
1110008P14Rik,-0.33301035,0.014026859230924229,0.29294759538527726
Mcm7,-0.76200306,0.03705872171111211,0.48255837639539634
Senp7,-1.051031,0.013732781002721583,0.28901336594110943
Tcf3,-0.82026315,0.03681885569050115,0.48177047732626704
1700066M21Rik,-2.119113,0.013609006535974475,0.2870961246778865
Orc4,-0.7269757,0.0367804686933099,0.4816268080085953
Gm10516,-2.7080114,0.01337754910237921,0.2828925034610227
Npc2,-0.26575804,0.036609079813337116,0.4802879052636904
Snx3,-0.28446305,0.01364637026857921,0.2875391663426169
Mcf2l,-0.5956074,0.03647941128878112,0.4794570164921154
Traf5,-1.8525369,0.013289955086416528,0.28140139764545385
Rtfdc1,-0.53552747,0.03635445922673551,0.47890323237737864
Bbs9,-21.047718,0.013269403189634906,0.28140139764545385
Tom1l2,-1.1748008,0.03641308371202604,0.47895742520316886
Arhgap5,-0.45125294,0.013426127856718434,0.28357853945446276
Cd52,-1.881311,0.03635157590909494,0.47890323237737864
Srrd,-0.842815,0.01329102373218726,0.28140139764545385
Cux1,-0.6252696,0.03622233902893743,0.4778792520687068
Tle2,-1.2531154,0.01313449219298657,0.27943393620744916
Erbb2,-1.2283181,0.03603733278870194,0.47669493306518546
Wdr82,-0.70590085,0.013217736873642836,0.2808649215000309
Zfp507,-1.461323,0.03604536487891773,0.47669493306518546
Rassf5,-21.01379,0.013050906083239283,0.2786677674371372
1810058I24Rik,-0.3538456,0.03586308084444891,0.4759984287609522
Ddx60,-21.613901,0.012955509468853531,0.27798188998310513
Apoa1bp,-0.39694306,0.035846573908928835,0.4759984287609522
Mrps6,-0.68591213,0.013116591765755768,0.27939135406015286
Kansl1,-0.8325703,0.03576916111844615,0.47583002901926885
Clec16a,-1.6386439,0.012864255797197573,0.276377286712915
Vezt,-1.4313967,0.035694031633847774,0.47519031659212646
Deb1,-0.35318506,0.013022431185619979,0.27856506453507285
Tpm3,-0.3602727,0.035535636888559985,0.47497251009717945
Taf5,-1.2050322,0.012754751619293795,0.27535534423323077
Cops2,-0.5189206,0.03554451901177287,0.47497251009717945
Dimt1,-0.99409455,0.012732682728778024,0.2752170154893189
Psma5,-0.3905305,0.03550350448151942,0.47497251009717945
Dock8,-1.7005585,0.012638740018904767,0.2748769534062048
Cda,-0.5989466,0.03544761060382517,0.47497251009717945
Bag3,-0.5729785,0.012803795296126158,0.2760749628697239
Cdcp1,-0.8084721,0.035156097536622,0.47497251009717945
Exosc10,-1.0520221,0.01263367215297737,0.2748769534062048
Acaca,-1.0224044,0.035045359942154776,0.47497251009717945
Scg2,-2.7779527,0.012444064303516593,0.27300816729799887
Hibadh,-0.3982747,0.03495011253197399,0.47487631597753316
Tm2d2,-0.39321932,0.012693687868769583,0.27489702063171184
Prkar2a,-0.35925218,0.034662832981424925,0.4725600961850893
Tuba4a,-0.30251116,0.012679285815113892,0.27489702063171184
Fbxl3,-0.7048716,0.03456299194493586,0.47156479615555735
Gna12,-0.9555449,0.012523526382352683,0.2737262799963727
Tmem131,-0.6358097,0.03452614821466448,0.4714281294299137
Fam174a,-0.60700935,0.012547650576853036,0.2739128740211657
Sepp1,-0.42838964,0.03450211144456711,0.4714281294299137
Ahsg,-20.947552,0.012319981903961046,0.2709625056299217
Eif4g3,-0.77141255,0.03451905823467445,0.4714281294299137
