gene,p.value,logfc
Myadm,1.9007461028348006e-12,0.60650235
Snrpd3,8.333558581189257e-13,0.28356013
Slc39a1,2.0100300404348236e-12,0.5045321
Aldh9a1,8.860432117814084e-13,0.31471318
Rfc1,2.1165526163208634e-12,0.36486015
Ptgr1,1.06692299711695e-12,0.28247997
Hoxb7,4.632687948149674e-12,1.0737115
Ckb,1.3600784762001693e-12,0.8233301
Serpinb6a,4.620508794874672e-12,0.2861401
Dhrs4,1.360839844000109e-12,0.36289722
Rps12,6.938596151137139e-12,0.10857544
Abhd17a,1.6362278806012678e-12,0.34333542
Atp5e,7.804656440625035e-12,0.13768007
Klk1,2.1497099686661917e-12,0.30662185
Hoxb8,8.53905340688276e-12,1.5522414
Tmem238,2.5982392992411624e-12,0.26256981
Gm53,1.262045086925436e-11,1.7545537
Cst6,4.167195197333891e-12,1.2284129
Cdkn1b,1.2609057239231998e-11,0.55551445
Lypd8,4.550321036129488e-12,0.20746398
Camk2n1,1.471227071916711e-11,0.24556297
Acot7,4.8739699755586685e-12,0.33892083
Fermt3,1.6272804562027805e-11,1.029827
Eif1,5.890114207283783e-12,0.11112519
Guca2a,1.7772276187708415e-11,0.31789613
Ero1lb,8.834605912919727e-12,1.1808367
Csnk2a1,2.3872745429372588e-11,0.35497853
Lrrc59,9.561641729752816e-12,0.24460088
Mrpl52,3.103205318767119e-11,0.17141117
Tppp3,1.0719564191566073e-11,0.63458365
Atp2a3,4.474428211486723e-11,0.26513034
Rpn1,1.2158744647971185e-11,0.18019138
Rpl13,4.5908665087781426e-11,0.0900304
Psma2,1.460002983300801e-11,0.21097106
Rps16,5.7312657985267916e-11,0.09893317
Ppic,1.5293105981896612e-11,0.4932692
Shfm1,5.8112602732859634e-11,0.14522138
Vimp,1.8335580274764987e-11,0.19244403
Bex4,6.022147149405354e-11,1.059748
Id1,2.1582662720514758e-11,0.53487825
Clca3b,6.275063182221244e-11,0.43925905
H2-Aa,2.4080251153928058e-11,1.944828
Eif4b,6.512988638620491e-11,0.25014904
Pfkp,2.5206804869453764e-11,0.5611826
Prr15,7.888440070844496e-11,0.70336574
Jun,2.797472264925332e-11,0.42234048
Oas1f,8.361754707016325e-11,0.6658315
Psmb5,2.965818479969729e-11,0.1998809
Mtus2,8.982399430464922e-11,1.0540235
H2-Ab1,3.8570812120906624e-11,0.60151607
Rpl12,9.958202209810844e-11,0.117678665
Tuba4a,4.399634395245262e-11,0.32391912
Cox7a2,1.009541296903999e-10,0.1341174
Slc3a1,4.9274767664932845e-11,1.01271
Ephb4,1.407643815965566e-10,0.54911655
Fdps,5.141464204309151e-11,0.2838284
Pdha1,1.4030637338676866e-10,0.26157102
H2-Eb1,5.28522333490022e-11,1.4467545
Morf4l1,1.457869153452005e-10,0.22125883
Sct,5.3104195582982764e-11,0.30882126
Dfna5,1.5582479047657194e-10,0.41285673
Erp44,5.681588000391402e-11,0.26355433
Wbp5,1.618161155583087e-10,0.19243643
Ssr2,7.681609707943457e-11,0.15394993
Atp5l,1.7574034508015826e-10,0.12668978
H2-K1,7.77162824447687e-11,0.18676591
Tff3,2.0743753668117606e-10,0.13167495
Tnfrsf12a,7.8787018226961e-11,0.76900065
Gfpt1,2.1043735656908868e-10,0.19714753
Reep5,8.262054398389998e-11,0.24252422
Nudt22,2.231043126546924e-10,0.43745887
mt-Atp6,1.2759902774254912e-10,0.0847115
Bex2,2.3318512926446187e-10,0.90019006
Ddx39,1.914025666324862e-10,0.30326325
C2cd4b,2.407866620148696e-10,0.8166264
Bud31,1.9537329741729375e-10,0.23989223
Igf1r,2.5660891695233596e-10,0.79893297
Cycs,2.2995909673529467e-10,0.1818823
Mgat4b,2.8248307500401047e-10,0.2911538
Pgc,2.4269103703401177e-10,1.1951298
Prnp,3.6633823191294334e-10,1.428056
Sult1d1,2.504906751567233e-10,0.364164
Crip1,3.582368088314875e-10,0.17360358
Ifi27l2b,2.678677868548826e-10,0.27525583
Rps8,3.8258685445209326e-10,0.087466195
