,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Sema4d,-0.0611453,,,0.9843671671100102,1.0,,-0.0611453
A230072E10Rik,0.01456636,,,0.9840723130489664,1.0,,0.01456636
Kantr,-0.1302561,,,0.9839670085523481,1.0,,-0.1302561
Sqle,-0.040823087,,,0.9836546068631027,1.0,,-0.040823087
Cldn10,-17.130829,,,0.9832790261321174,1.0,,-17.130829
Nrxn2,-16.966646,,,0.9832790261321174,1.0,,-16.966646
5031425F14Rik,-17.212765,,,0.9832790261321174,1.0,,-17.212765
Gm29095,-17.182999,,,0.9832790261321174,1.0,,-17.182999
Aoah,-16.662527,,,0.9832790261321174,1.0,,-16.662527
Gpr84,-17.006319,,,0.9832790261321174,1.0,,-17.006319
Gm14091,-17.031328,,,0.9832790261321174,1.0,,-17.031328
Tmprss6,-16.760962,,,0.9832790261321174,1.0,,-16.760962
Shank1,-16.807396,,,0.9832790261321174,1.0,,-16.807396
Kif26a,-17.185297,,,0.9832790261321174,1.0,,-17.185297
Sgce,-17.609,,,0.9832790261321174,1.0,,-17.609
Gm12905,-17.235003,,,0.9832790261321174,1.0,,-17.235003
Gm6976,-16.941004,,,0.9832790261321174,1.0,,-16.941004
Col12a1,-16.641861,,,0.9832790261321174,1.0,,-16.641861
Kcng4,-17.395693,,,0.9832790261321174,1.0,,-17.395693
Mnda,-17.537968,,,0.9832790261321174,1.0,,-17.537968
Spta1,-16.943876,,,0.9832790261321174,1.0,,-16.943876
Aox1,-17.206293,,,0.9832790261321174,1.0,,-17.206293
Rgs8,-17.773598,,,0.9832790261321174,1.0,,-17.773598
Fabp3,-17.075455,,,0.9832790261321174,1.0,,-17.075455
Galr2,-16.853767,,,0.9832790261321174,1.0,,-16.853767
Kcnd3os,-17.46512,,,0.9832790261321174,1.0,,-17.46512
9330175E14Rik,-17.608932,,,0.9832790261321174,1.0,,-17.608932
Galnt9,-16.710865,,,0.9832790261321174,1.0,,-16.710865
Gm43079,-17.425951,,,0.9832790261321174,1.0,,-17.425951
Il12rb2,-16.760962,,,0.9832790261321174,1.0,,-16.760962
Fgf7,-17.351376,,,0.9832790261321174,1.0,,-17.351376
Synpr,-17.484564,,,0.9832790261321174,1.0,,-17.484564
Gapdhs,-16.581842,,,0.9832790261321174,1.0,,-16.581842
Gm26510,-17.559608,,,0.9832790261321174,1.0,,-17.559608
Pilra,-18.09287,,,0.9832790261321174,1.0,,-18.09287
2900052N01Rik,-17.06726,,,0.9832790261321174,1.0,,-17.06726
Gm14085,-17.290648,,,0.9832790261321174,1.0,,-17.290648
Mill1,-17.2459,,,0.9832790261321174,1.0,,-17.2459
Ermap,-16.85527,,,0.9832790261321174,1.0,,-16.85527
Slc13a4,-17.355692,,,0.9832790261321174,1.0,,-17.355692
Gm26860,-18.073896,,,0.9832790261321174,1.0,,-18.073896
1700026J14Rik,-16.552221,,,0.9832790261321174,1.0,,-16.552221
Kcnt1,-16.749912,,,0.9832790261321174,1.0,,-16.749912
Sh3tc2,-18.342802,,,0.9832790261321174,1.0,,-18.342802
Ndufa4l2,-16.21013,,,0.9832790261321174,1.0,,-16.21013
Gm43522,-17.65399,,,0.9832790261321174,1.0,,-17.65399
Gm10065,-17.641771,,,0.9832790261321174,1.0,,-17.641771
Sp9,-17.199902,,,0.9832790261321174,1.0,,-17.199902
Zc2hc1c,-16.969194,,,0.9832790261321174,1.0,,-16.969194
Tdrd5,-17.261738,,,0.9832790261321174,1.0,,-17.261738
Srrm3,-17.498856,,,0.9832790261321174,1.0,,-17.498856
4932443L11Rik,-17.184906,,,0.9832790261321174,1.0,,-17.184906
Platr3,-17.327549,,,0.9832790261321174,1.0,,-17.327549
Apol7b,-16.585493,,,0.9832790261321174,1.0,,-16.585493
Slc15a3,-17.46801,,,0.9832790261321174,1.0,,-17.46801
Mn1,-17.10979,,,0.9832790261321174,1.0,,-17.10979
Cd33,-16.848274,,,0.9832790261321174,1.0,,-16.848274
Cd109,-17.023174,,,0.9832790261321174,1.0,,-17.023174
Gm4876,-17.36716,,,0.9832790261321174,1.0,,-17.36716
Foxj1,-17.273687,,,0.9832790261321174,1.0,,-17.273687
Cd209c,-17.75458,,,0.9832790261321174,1.0,,-17.75458
Slamf8,-17.793135,,,0.9832790261321174,1.0,,-17.793135
Chst7,-17.60572,,,0.9832790261321174,1.0,,-17.60572
Gm9821,-17.468853,,,0.9832790261321174,1.0,,-17.468853
1700025N23Rik,-16.86451,,,0.9832790261321174,1.0,,-16.86451
Gm21975,-17.417568,,,0.9832790261321174,1.0,,-17.417568
Egfl6,-16.674906,,,0.9832790261321174,1.0,,-16.674906
3100002H09Rik,-16.960648,,,0.9832790261321174,1.0,,-16.960648
Rgsl1,-16.687258,,,0.9832790261321174,1.0,,-16.687258
1700029N11Rik,-17.419077,,,0.9832790261321174,1.0,,-17.419077
Tmem221,-17.196642,,,0.9832790261321174,1.0,,-17.196642
Vgll3,-17.31819,,,0.9832790261321174,1.0,,-17.31819
