,logFC,P.Value,adj.P.Val
Cox6a1,0.11755287,0.00021785394780934753,0.008325979772777692
Mrpl12,0.22071232,6.423773340664522e-06,0.0004444290114783372
Axin2,0.49975824,0.00022760867542367504,0.008601650006925251
Ckb,0.5515406,7.1885496057919836e-06,0.00048773892750031867
Jchain,23.455242,0.00024050689124547754,0.008935364904559782
Ctsh,0.39715278,7.143658281483415e-06,0.0004865717324825893
Fundc2,0.2943039,0.00023389634364359943,0.008801414233081312
Pdia6,0.2571834,7.396599592187303e-06,0.0004999247870519518
Atp6v1b2,0.40036714,0.00023558863604674414,0.008827290194561695
Mrpl57,0.24658738,7.451767664136875e-06,0.0005017238052179207
Gm21814,1.2353342,0.0002506197214233738,0.009194447525204482
Asns,0.5439941,7.932709480343396e-06,0.0005300437402968613
AA467197,0.55643517,0.00026062779078305247,0.009482426847682362
Bysl,0.7045614,8.903333987973467e-06,0.0005904086346062556
Rps11,0.06696152,0.00029709334456786145,0.010633037360674195
Mpc2,0.21564364,8.71143014565552e-06,0.0005798710679909259
Rpl24,0.07312207,0.00030358239792671745,0.010821203810884798
Timm9,0.3770582,9.124968889895822e-06,0.0005983323817244003
Rnf150,1.379222,0.00030762981215086226,0.010922218183943747
Snrpa1,0.38563034,9.385100176379762e-06,0.0006131017301097456
Myadm,0.6509096,0.0003192397362877182,0.011199880638364194
Phlda2,1.4548575,1.0120771782348565e-05,0.0006538688328353358
Golph3l,0.39142242,0.00032026304531133584,0.011211120508478297
Gsta1,1.0332348,1.0466715158818114e-05,0.0006688421290396753
Rps20,0.08466076,0.0003465755339033306,0.011973448348412541
Cdca8,0.54424334,1.0120104100271444e-05,0.0006538688328353358
1110051M20Rik,1.5593995,0.00034545282347116354,0.011973448348412541
Tubb2b,0.67235005,1.0251493259851639e-05,0.0006574798943626746
Higd2a,0.16359726,0.0003472876493546964,0.011973448348412541
Park7,0.20849982,1.0207282244344974e-05,0.0006570423841753634
Plekha6,0.3525574,0.000346552208544124,0.011973448348412541
Cenpv,0.2986482,1.0701423837291413e-05,0.0006813627575823261
Acyp2,2.400881,0.00035666137400824395,0.012161198084679005
Pcyt2,0.46559843,1.1216517363493805e-05,0.0007090210778009951
Med13l,0.4983257,0.0003562770182283781,0.012161198084679005
