,logFC,P.Value,adj.P.Val
H2-DMa,0.40861404,0.0022740890153222456,0.013298690937190624
Tmem117,0.33039442,0.004701203140286097,0.02439877223397743
Kif2c,0.3295708,0.0022760354274807934,0.013305645564577506
Flot1,0.30257055,0.004705607640705697,0.024414420747009512
Ddx31,0.43107703,0.0022860132691195707,0.013355090152339833
Pla2g4a,0.1869702,0.004718205337503401,0.024465335614029877
Eme1,0.4295404,0.0022943377282993297,0.013390367618533417
Gigyf1,0.2432293,0.004731934421928913,0.024529287196624422
Pola2,0.26467472,0.0023046572319752713,0.013437206880391985
Egr1,0.36164778,0.004738481380734499,0.02455598151095469
Rbm25,0.10597894,0.002341382744863115,0.013637759024023706
Nat6,0.30156708,0.004787645120569613,0.024796135485932746
Thpo,1.8283148,0.002374054417551709,0.013805181429396487
Rchy1,0.18036239,0.004802012463845591,0.024863218923735584
Psmd11,0.1324089,0.0023758867246097726,0.013811266097111325
Syap1,0.31460378,0.0048237958908410655,0.024961297170126632
Emc4,0.14647415,0.0023786448994302,0.013822727122250961
Dctn4,0.25511163,0.004830507238027337,0.0249824715043111
Amacr,0.2539128,0.0023820150997916007,0.01383773598302076
Mmgt2,0.27269506,0.004846358973421552,0.0250485488940991
Paox,0.2553614,0.0023849777611906283,0.013845792599075953
Eps8l3,0.13047327,0.004862439287993666,0.02510686658953434
Dusp7,0.61106485,0.0023909116696733657,0.013875657454151272
Tns3,0.1402234,0.004873366382228989,0.025151150494834077
Xrcc1,0.21674216,0.0024005838636033234,0.013915651343528004
Lypd8,0.079675645,0.0048853477496769255,0.025205583090156372
Psma6,0.10651038,0.002404181897322355,0.013925078603047376
Trim14,0.68111557,0.004922565536579546,0.025382700755373345
Mrpl37,0.1680544,0.0024276262091756477,0.014042355290929445
Akap8l,0.29061398,0.004940529259447644,0.025439793674056296
Pih1d1,0.17178129,0.002440624800075298,0.014098980805957664
Slc12a7,0.24797937,0.004964106964362713,0.02553695892410596
Alkbh1,0.18275785,0.0024507116081090236,0.014152597794709126
Bmpr2,0.2951739,0.005001414601853763,0.025698789122332213
Usp15,0.23242101,0.0024543626859155256,0.014169026110247547
Lrif1,0.3155173,0.005037685657955253,0.025870032164596043
Tdg,0.1956938,0.0024737548639418485,0.014243543323738566
Tacc1,0.4316899,0.005049045202714956,0.02592009737645162
Slc25a22,0.46140328,0.002483881929221361,0.014273792394443093
Sft2d2,0.18577155,0.005050384875489122,0.02592009737645162
B3galt6,0.2954819,0.0024832803624600178,0.014273792394443093
Prcp,0.20352308,0.005062869534896293,0.02596142583505473
Mlycd,0.23370223,0.002513976699371899,0.014437103185009641
Dhx57,0.42250293,0.00508961275451392,0.026075733217222483
Dhodh,0.23649158,0.0025153566019763614,0.014437103185009641
Tcf4,0.24003395,0.005130538420361064,0.026257333969930494
Dnajb1,0.21650006,0.0025433754233660922,0.014585451172732064
Taf15,0.13691956,0.00513342344362261,0.026257333969930494
Xbp1,0.16739781,0.0025439257864009433,0.014585451172732064
Prr13,0.12180272,0.0051340237592147715,0.026257333969930494
Scrn2,0.23474605,0.0025532644005314344,0.014634218953209033
Pcsk9,0.49267244,0.005137303523967205,0.02626646343516895
D1Ertd622e,0.24752414,0.0025592180124801183,0.014663559873920156
Epas1,0.663179,0.0051468474848286715,0.026307606413872673
Hist1h4i,0.31863263,0.0025728128046324816,0.014722253147445978
Epb41l1,0.9652672,0.0051517374897006515,0.026317291542589983
Gm17092,0.94154894,0.0025773273459859585,0.014743285628584393
Axdnd1,20.936852,0.005190774677392392,0.0264782245009627
Gusb,0.21427363,0.0026009361277276244,0.014849870471606037
Zfp605,0.7080624,0.0051867244421996425,0.02646524640614818
Nol7,0.1060703,0.0026038248546350266,0.014860998431471687
Prrc2b,0.18989708,0.005203702533461852,0.02652876838425446
3930402G23Rik,1.3617312,0.0026417385677727076,0.015056195981494234
Acsf2,0.32349208,0.005214688570064716,0.026577065615355933
Ints1,0.28471947,0.0026423097027785934,0.015056195981494234
Rnf25,0.34767374,0.005228954719609389,0.026638531974608536
Otc,0.11641875,0.0026515947237283058,0.015099311108255839
Tnks2,0.17597124,0.005229780647151849,0.026638531974608536
Kntc1,0.4614532,0.002669979704606959,0.015194155877285651
St6galnac2,0.1295718,0.005236189582808064,0.026663448142186647
Mre11a,0.29340857,0.002669808335248895,0.015194155877285651
Zfp433,0.3698412,0.005245273412554822,0.026698374224938214
Ankrd26,0.30000162,0.0026725699968132227,0.015199052606472092
Mthfs,0.28882584,0.005259921433986864,0.02675328490866893
Rfxap,0.21030168,0.002676986633545361,0.015205946095409286
Etaa1os,0.7833791,0.005257832548246698,0.026750402828702724
AA792892,2.7776713,0.0026957982965934,0.015296500957712567
Sytl1,0.5357412,0.005261937502525974,0.02675579506131046
Gm3336,0.4729015,0.002698914757026939,0.015309241131450742
Zfhx2,0.39867654,0.005276927955282121,0.02682425656875114
BC031181,0.12660281,0.002706818873477396,0.015338614154759267
Crebrf,0.38504684,0.005306130056725757,0.026964899793765682
Psmd4,0.11755669,0.002715321327554478,0.015367581864449224
Sema5a,0.16762449,0.005323130139351304,0.027035654895612847
Klf16,0.41505957,0.0027194243794173853,0.015385848235512464
Tceal7,20.778881,0.005358388582436905,0.027191152919192527
Aurka,0.29083726,0.0027279940616423155,0.015429365833678921
