,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Etl4,-0.26411754,,,2.0795748757143188e-05,7.775373933154656e-05,,-0.26411754
Idh3b,-0.058936115,,,2.0147386905920715e-05,7.549934783005377e-05,,-0.058936115
Psmb10,-0.042703766,,,2.0083976188925563e-05,7.531924288625104e-05,,-0.042703766
Pcmtd2,-0.4760216,,,1.966594024468874e-05,7.378334853132465e-05,,-0.4760216
Slc25a24,-0.4189173,,,1.9390081428460372e-05,7.284268706033104e-05,,-0.4189173
Ogfr,-0.23496473,,,1.927978347117159e-05,7.245964449411786e-05,,-0.23496473
Ap1ar,-0.1431341,,,1.9113757503293732e-05,7.186673614884619e-05,,-0.1431341
Acly,-0.26978916,,,1.8755727617263112e-05,7.070405038025508e-05,,-0.26978916
Arfgap3,-0.34230483,,,1.8734605782827513e-05,7.065506640786099e-05,,-0.34230483
Adipor1,-0.12766673,,,1.8507050414690398e-05,6.985748556443928e-05,,-0.12766673
Supt4a,-0.09658924,,,1.836117159165485e-05,6.93670858958086e-05,,-0.09658924
Sdc2,-0.5290299,,,1.8109950031767555e-05,6.847751005922373e-05,,-0.5290299
Krit1,-0.2273726,,,1.7996973701319567e-05,6.807993576395604e-05,,-0.2273726
Cryl1,-0.12011407,,,1.7214140884414206e-05,6.517531651054561e-05,,-0.12011407
Mthfd2l,-0.21070144,,,1.6889437277256966e-05,6.400169060644935e-05,,-0.21070144
Sdcbp,-0.10636691,,,1.6567939994214684e-05,6.281077294797569e-05,,-0.10636691
Tle3,-0.62574166,,,1.643764598435673e-05,6.23440037268818e-05,,-0.62574166
Pxn,-0.2705248,,,1.5846412300476075e-05,6.028571646741293e-05,,-0.2705248
Cmc1,-0.11902547,,,1.3937181938606444e-05,5.318521623894022e-05,,-0.11902547
Msrb1,-0.15632467,,,1.3756995100745054e-05,5.2520666847069275e-05,,-0.15632467
Aig1,-0.09397725,,,1.3659376097744227e-05,5.2193826996787064e-05,,-0.09397725
Nfkbil1,-0.26347676,,,1.3598120258664952e-05,5.1982611877121566e-05,,-0.26347676
Ndufa2,-0.04916847,,,1.3417268050057388e-05,5.131381925171529e-05,,-0.04916847
Svbp,-0.21659555,,,1.3292279546188675e-05,5.088057511889835e-05,,-0.21659555
Tmem176b,-0.120541245,,,1.1988965244245082e-05,4.609468149855042e-05,,-0.120541245
Rps3a1,-0.02553163,,,1.158215858731713e-05,4.458977174470674e-05,,-0.02553163
Shisa2,-0.40976363,,,1.149723146775813e-05,4.428242496642509e-05,,-0.40976363
Slc44a1,-0.14888734,,,1.1471683861875008e-05,4.422321410699753e-05,,-0.14888734
Rbm5,-0.18457627,,,1.1318845340203388e-05,4.371156043642294e-05,,-0.18457627
Npdc1,-0.42452553,,,1.1081212405500402e-05,4.2850969502230875e-05,,-0.42452553
4930481A15Rik,-0.7621282,,,1.096863427582408e-05,4.243450723619881e-05,,-0.7621282
Actn4,-0.10417121,,,1.0453518491166717e-05,4.054994923860432e-05,,-0.10417121
Fblim1,-0.23553286,,,1.0450546641364108e-05,4.054994923860432e-05,,-0.23553286
Ube2h,-0.32898438,,,1.0438879326056732e-05,4.0529333622783016e-05,,-0.32898438
Myadm,-0.79158336,,,9.692585906747821e-06,3.773293743276257e-05,,-0.79158336
1110001J03Rik,-0.08287223,,,9.652568658360137e-06,3.761083789651487e-05,,-0.08287223
Tfrc,-0.12370423,,,9.392731230575655e-06,3.6647671717860937e-05,,-0.12370423
Axin2,-0.26636714,,,9.137530256475016e-06,3.57321414842723e-05,,-0.26636714
Pdgfa,-0.3206029,,,9.003863492025299e-06,3.5225285929872155e-05,,-0.3206029
Epsti1,-0.22680183,,,8.828063295172071e-06,3.455306358619127e-05,,-0.22680183
Pvrl2,-0.16365331,,,8.459677061426033e-06,3.314104222396418e-05,,-0.16365331
Sgpp2,-0.23118503,,,8.376815558758088e-06,3.2831225271543754e-05,,-0.23118503
Clca1,-0.64501315,,,8.376471930872606e-06,3.2831225271543754e-05,,-0.64501315
4833420G17Rik,-0.33400622,,,8.123678169558518e-06,3.191104126885323e-05,,-0.33400622
Glrx,-0.120785676,,,8.01294949887496e-06,3.14903119320615e-05,,-0.120785676
Cyp4f14,-0.30797386,,,7.90301440925228e-06,3.1086382017932154e-05,,-0.30797386
Ube2b,-0.08686658,,,7.872032083699873e-06,3.0978530965868265e-05,,-0.08686658
Tsc22d4,-0.16493317,,,7.827466871442913e-06,3.084504511035959e-05,,-0.16493317
Cipc,-0.46510223,,,7.713771307294088e-06,3.0466067230489557e-05,,-0.46510223
Psrc1,-0.73833185,,,7.698224556524395e-06,3.041848457721208e-05,,-0.73833185
Erbb2,-0.27737895,,,7.487857305482732e-06,2.962764840990505e-05,,-0.27737895
Als2cl,-0.85798424,,,7.3764496612797376e-06,2.9213429114125174e-05,,-0.85798424
Ascc1,-0.25701773,,,7.3547232733469905e-06,2.914066062680282e-05,,-0.25701773
Caprin1,-0.121176146,,,7.217146496836033e-06,2.860859758184936e-05,,-0.121176146
Fxyd3,-0.23789088,,,7.170356088049345e-06,2.8449066852310795e-05,,-0.23789088
Nudt4,-0.15989143,,,7.0674138948716605e-06,2.8053437894118424e-05,,-0.15989143
S100a6,-0.6705107,,,6.857945295795287e-06,2.7259313423113137e-05,,-0.6705107
Prlr,-0.12920584,,,6.810142288410489e-06,2.7081686602539974e-05,,-0.12920584
