,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Maged2,0.38887918,,,0.00845140759834327,0.1825296420406987,,0.38887918
Cldn9,1.3722981,,,0.008710734081411271,0.18555111962760176,,1.3722981
Katna1,0.43338624,,,0.008732105155161327,0.18555111962760176,,0.43338624
Ap4s1,0.4424507,,,0.008907489328408404,0.18822343745210626,,0.4424507
Stip1,0.25163138,,,0.009211470920205658,0.19356847202404465,,0.25163138
Dnajc8,0.23054697,,,0.009461286681395932,0.19772264673572876,,0.23054697
Mien1,0.12445872,,,0.009600081489871926,0.19952388543059843,,0.12445872
Lpcat3,0.27101555,,,0.009795369318860858,0.20247321976261162,,0.27101555
Snrpb,0.15856777,,,0.009941522910429672,0.20493584999597686,,0.15856777
Srp68,0.39602256,,,0.0101368690184379,0.20839644545764202,,0.39602256
Ywhae,0.11089194,,,0.010221190190914553,0.20956202375210217,,0.11089194
Sumo2,0.11575937,,,0.010259723984653801,0.2097850839557513,,0.11575937
Arl3,0.19805862,,,0.010733924287477442,0.21830442264022487,,0.19805862
Ccdc59,0.24471126,,,0.010774172656879907,0.21853709565532345,,0.24471126
Ech1,0.20102674,,,0.011224167134753934,0.22585286971947835,,0.20102674
Ywhah,0.17526199,,,0.011316480240644035,0.22710798705165514,,0.17526199
Pfdn2,0.17194141,,,0.011414558272208787,0.22847187085217904,,0.17194141
Yeats4,0.27333763,,,0.01157167844277002,0.23100724386014046,,0.27333763
Hnrnpf,0.14381573,,,0.011807458692825658,0.23325880636399854,,0.14381573
Zbtb20,0.18099882,,,0.011889926705318882,0.2339131853544918,,0.18099882
Gclm,0.177843,,,0.012233951352120893,0.23857777623956064,,0.177843
Tubb2b,0.38104504,,,0.012441275345903453,0.24199875583082972,,0.38104504
Hdac1,0.2269592,,,0.01256087407076418,0.24367540708215366,,0.2269592
Psmd7,0.2035564,,,0.012731892078505063,0.24512800910276056,,0.2035564
Psmc4,0.21862735,,,0.01276371784808732,0.24512800910276056,,0.21862735
Nit2,0.3937703,,,0.012863391737024842,0.24579770709589535,,0.3937703
Dnm2,0.27513012,,,0.012904967666927735,0.24597257467666786,,0.27513012
Aldoa,0.10486064,,,0.01295995392794904,0.24621818413698282,,0.10486064
Ccl6,0.7325405,,,0.012982767420879664,0.24621818413698282,,0.7325405
Ptov1,0.1517504,,,0.013095451230823516,0.247192001478,,0.1517504
Vil1,0.18871428,,,0.013099286131578698,0.247192001478,,0.18871428
Psmd2,0.21995167,,,0.013311741056465421,0.24941329290605732,,0.21995167
Lsm6,0.14962323,,,0.013315631904423045,0.24941329290605732,,0.14962323
Usp18,0.46823123,,,0.013421065489442139,0.2501528324395776,,0.46823123
Cst6,0.52729905,,,0.013548954293483973,0.25191756683914074,,0.52729905
Leo1,0.4247636,,,0.013654028510241821,0.2532505141288373,,0.4247636
Tob1,0.2850967,,,0.013797923681601012,0.2549568450483645,,0.2850967
Aimp1,0.18084477,,,0.013854243546207182,0.2549568450483645,,0.18084477
Naa10,0.32008392,,,0.013880460981409774,0.2549568450483645,,0.32008392
Trappc6b,0.21001586,,,0.01394315632524523,0.2554898161432616,,0.21001586
Etfb,0.16881585,,,0.014305937587599495,0.26025142095810494,,0.16881585
Erp44,0.29362053,,,0.014362002928140829,0.2606463019446802,,0.29362053
Rap1b,0.14545259,,,0.014529261889667076,0.26242614451193913,,0.14545259
Pax6,0.24450448,,,0.01462198447098432,0.263473572914221,,0.24450448
Phlda1,0.47819814,,,0.014732237932256592,0.26364603857737834,,0.47819814
Nudt14,0.26465866,,,0.014742877742194765,0.26364603857737834,,0.26465866
Cyb5b,0.1962232,,,0.014770572949563115,0.26364603857737834,,0.1962232
Psmd8,0.16759273,,,0.014821823044793056,0.26393978783521155,,0.16759273
Fkbp1a,0.1241205,,,0.014898992006357858,0.26424706416835986,,0.1241205
Pcsk1n,0.22335921,,,0.014978673217220274,0.26424706416835986,,0.22335921
Atp5g3,0.11168874,,,0.014991629807823306,0.26424706416835986,,0.11168874
Arl2,0.23357305,,,0.014995950864789496,0.26424706416835986,,0.23357305
Ap3s1,0.17654099,,,0.01540263572617824,0.2689599548133539,,0.17654099
Psmd4,0.18996473,,,0.015431419540734568,0.2689599548133539,,0.18996473
Abracl,0.19795631,,,0.015529193278176773,0.2689599548133539,,0.19795631
Tmem167,0.20982544,,,0.015730884405196557,0.2718325491977701,,0.20982544
Acaa1a,0.18468855,,,0.015857540852829873,0.2732930744573751,,0.18468855
Abhd17a,0.24474671,,,0.01588934475101441,0.2732930744573751,,0.24474671
Grpel1,0.20297915,,,0.015923482587682548,0.2732930744573751,,0.20297915
Nol7,0.17282444,,,0.01602170207306266,0.2739965161051232,,0.17282444
Mob4,0.19131446,,,0.016090542343365696,0.2739965161051232,,0.19131446
Mrpl18,0.20098862,,,0.016097440649846407,0.2739965161051232,,0.20098862
Ranbp1,0.17040291,,,0.01652318375360122,0.2795311280510795,,0.17040291
Tprgl,0.25069726,,,0.016624645186230344,0.2795311280510795,,0.25069726
Snx6,0.20643532,,,0.016939533686752724,0.28332836957711205,,0.20643532
Pepd,0.35232598,,,0.01711106095831527,0.28484272612677747,,0.35232598
Rps3a1,0.069589086,,,0.01714020153194856,0.28484272612677747,,0.069589086
Hsp90b1,0.15197842,,,0.017208365574592727,0.2850276446481669,,0.15197842
Lsm7,0.36667693,,,0.017328224954052097,0.2857650315248679,,0.36667693
Mrpl36,0.23078893,,,0.017537881543192545,0.2873891589318404,,0.23078893
Lsm4,0.18965808,,,0.01773222553976541,0.2899066011738371,,0.18965808
Psmb1,0.10607522,,,0.01784268598503381,0.2904605491040053,,0.10607522
Cpe,0.20233469,,,0.01805269674808539,0.29067417754862007,,0.20233469
Anp32b,0.18285383,,,0.018062872204781765,0.29067417754862007,,0.18285383
Sep15,0.14660873,,,0.018144456852595275,0.29067417754862007,,0.14660873
Tmem41a,0.4045384,,,0.01814956659048267,0.29067417754862007,,0.4045384
