,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Cope,0.038784638,,,0.26358807144845,0.5089404901551833,,0.038784638
Polr2j,0.07426291,,,0.26391265584346013,0.5093207976166583,,0.07426291
BC005561,0.1136175,,,0.2640209118778718,0.5094065551387896,,0.1136175
Prrx1,0.46854714,,,0.2642736283757716,0.5096477655702848,,0.46854714
Bet1l,0.1406926,,,0.2642736283757716,0.5096477655702848,,0.1406926
Mff,0.061764862,,,0.26490614913616295,0.5106208361277114,,0.061764862
Tmem41b,0.0696535,,,0.26534048012202716,0.5109993361879505,,0.0696535
Mavs,0.19365911,,,0.2657753013727747,0.5113781298693624,,0.19365911
Gpt,0.12370138,,,0.2658115586103714,0.5113781298693624,,0.12370138
Bak1,0.07870523,,,0.26615617222161125,0.5114883777213868,,0.07870523
Casp8,0.06960975,,,0.2661743182946482,0.5114883777213868,,0.06960975
Gpalpp1,0.2097973,,,0.26639213759094926,0.5114883777213868,,0.2097973
Mtf2,0.19446912,,,0.266464771273603,0.5114883777213868,,0.19446912
Commd9,0.08410974,,,0.26671909647152203,0.5116442749424871,,0.08410974
Zdhhc13,0.097939864,,,0.26717366384570984,0.5121470184477559,,0.097939864
Ephb2,0.2629731,,,0.2673920453053754,0.5123195644809185,,0.2629731
Nf2,0.13109751,,,0.268139107750904,0.513381232446082,,0.13109751
Ppp2r2a,0.09379558,,,0.2686683828459482,0.5141479337991749,,0.09379558
Gle1,0.22384734,,,0.2687779775478014,0.514234376027457,,0.22384734
Epb41l5,0.2935265,,,0.26907038014326445,0.514670446753783,,0.2935265
Prkaa1,0.25272214,,,0.2692532426131504,0.514896833382407,,0.25272214
Crk,0.058637053,,,0.2694544898242198,0.5151582605453706,,0.058637053
Sars2,0.28634202,,,0.26952769621294626,0.5151748254721592,,0.28634202
Atp2c1,0.17836104,,,0.27060907574513793,0.5168685243822484,,0.17836104
Srsf10,0.0920098,,,0.27068249710946757,0.5168685243822484,,0.0920098
Mycbp,0.0505405,,,0.2707375720924806,0.5168685243822484,,0.0505405
Gatb,0.28256777,,,0.27128874435400496,0.5177433116340142,,0.28256777
Gm16286,0.056600638,,,0.27147263914036635,0.5178466563956615,,0.056600638
Slc35c1,0.11506278,,,0.2722643594966282,0.5191624743196575,,0.11506278
Cmtm7,0.30275124,,,0.27261469233839375,0.5194026534314251,,0.30275124
Tma16,0.25823367,,,0.27516846962827146,0.5224535500886923,,0.25823367
Numa1,0.13631302,,,0.27540988170038405,0.522733768931167,,0.13631302
Gmppb,0.0484961,,,0.27568861364403796,0.5229435632382868,,0.0484961
Smim10l1,0.04914495,,,0.2758931393478843,0.5232071841945385,,0.04914495
Gsr,0.027046535,,,0.27596753798580054,0.5232239639436247,,0.027046535
Gtpbp6,0.23518637,,,0.27654459140354837,0.523820343754894,,0.23518637
Max,0.084161974,,,0.2769546118634163,0.5242943802541711,,0.084161974
Sil1,0.1822437,,,0.27715977736620856,0.5244877531856512,,0.1822437
Ubxn4,0.0530939,,,0.27740237915978716,0.5247333639248173,,0.0530939
Mthfsd,0.19443434,,,0.2774210468256989,0.5247333639248173,,0.19443434
Fam188a,0.17145449,,,0.2777198458555017,0.5251740842498495,,0.17145449
Mpp7,0.49749568,,,0.27816845517519484,0.525773291311486,,0.49749568
Lrfn3,0.46682715,,,0.27901092650844117,0.5269912956437239,,0.46682715
Banp,0.25639004,,,0.2791983777879671,0.5272205941574528,,0.25639004
Herpud1,0.105103664,,,0.2794421924578764,0.5275561920999927,,0.105103664
Golga5,0.2942181,,,0.27981757453314215,0.5278903048743893,,0.2942181
Fermt1,0.07330983,,,0.27993025595381993,0.5279780961775499,,0.07330983
Snw1,0.055469867,,,0.2801932991732342,0.5283280422646758,,0.055469867
